STN_ID,STN_KO,LON,LAT
90,속초,128.56473,38.25085
93,북춘천,127.75443,37.94738
95,철원,127.3042,38.14787
98,동두천,127.0607,37.90188
99,파주,126.76648,37.88589
100,대관령,128.71834,37.67713
101,춘천,127.7357,37.90262
102,백령도,124.71237,37.97396
104,북강릉,128.85535,37.80456
105,강릉,128.89099,37.75147
106,동해,129.12433,37.50709
108,서울,126.9658,37.57142
112,인천,126.6249,37.47772
114,원주,127.94659,37.33749
115,울릉도,130.89863,37.48129
119,수원,126.983,37.25746
121,영월,128.45743,37.18126
127,충주,127.9525,36.97045
129,서산,126.4939,36.77658
130,울진,129.41278,36.99176
131,청주,127.44066,36.63924
133,대전,127.3721,36.37199
135,추풍령,127.99458,36.22025
136,안동,128.70733,36.57293
137,상주,128.15741,36.40837
138,포항,129.38002,36.03201
140,군산,126.76135,36.0053
143,대구,128.65296,35.87797
146,전주,127.11718,35.84092
152,울산,129.33469,35.58237
155,창원,128.57282,35.17019
156,광주,126.89156,35.17294
159,부산,129.03203,35.10468
162,통영,128.43561,34.84541
165,목포,126.38151,34.81732
168,여수,127.74063,34.73929
169,흑산도,125.45105,34.68719
170,완도,126.70182,34.3959
172,고창,126.599,35.34824
174,순천,127.3694,35.0204
177,홍성,126.68772,36.65759
181,서청주(예),127.396944,36.63972
184,제주,126.52969,33.51411
185,고산,126.16283,33.29382
188,성산,126.8802,33.38677
189,서귀포,126.5653,33.24616
192,진주,128.04004,35.16378
201,강화,126.44634,37.70739
202,양평,127.49446,37.48863
203,이천,127.48421,37.26399
211,인제,128.16714,38.05986
212,홍천,127.88043,37.6836
216,태백,128.98929,37.17038
217,정선군,128.6459,37.38149
221,제천,128.19433,37.15928
226,보은,127.73415,36.48761
232,천안,127.29282,36.76217
235,보령,126.55744,36.32724
236,부여,126.92079,36.27242
238,금산,127.48175,36.10563
239,세종,127.24438,36.48522
243,부안,126.71657,35.72961
244,임실,127.28556,35.61203
245,정읍,126.83904,35.56337
247,남원,127.39652,35.4213
248,장수,127.52031,35.65696
251,고창군,126.697,35.42661
252,영광군,126.47784,35.28366
253,김해시,128.89075,35.22981
254,순창군,127.1286,35.37131
255,북창원,128.6726,35.22655
257,양산시,129.02009,35.30737
258,보성군,127.21226,34.76335
259,강진군,126.78408,34.64457
260,장흥,126.91951,34.68886
261,해남,126.56907,34.55375
262,고흥,127.27572,34.61826
263,의령군,128.28812,35.32258
264,함양군,127.74538,35.51138
266,광양시,127.6914,34.9434
268,진도군,126.25846,34.47296
271,봉화,128.91449,36.94361
272,영주,128.51687,36.87183
273,문경,128.14879,36.62727
276,청송군,129.04005,36.4351
277,영덕,129.40926,36.53337
278,의성,128.68864,36.3561
279,구미,128.32055,36.13055
281,영천,128.9514,35.97742
283,경주시,129.2009,35.8174
284,거창,127.9099,35.66739
285,합천,128.16994,35.56505
288,밀양,128.74412,35.49147
289,산청,127.8791,35.413
294,거제,128.60459,34.88818
295,남해,127.92641,34.81662
